"Part";"Value";"Device";"Footprint Name";"Detailed Description";"";
"22UH_L";"CBC3225T220KRIND_TAIYO_CBC3225_TAY";"CBC3225T220KRIND_TAIYO_CBC3225_TAY";"IND_TAIYO_CBC3225_TAY";"";"";
"33UH_L";"33uH";"NR6028T330MIND_TAIYO_NR6028_TAY";"IND_TAIYO_NR6028_TAY";"";"";
"50KPOT";"PV36W503C01B00RES_PV36W503C01B00_BRN";"PV36W503C01B00RES_PV36W503C01B00_BRN";"RES_PV36W503C01B00_BRN";"";"";
"100UF_CAP1";"GRM31CD80J107MEA8KCAP_GRM31C_MUR";"GRM31CD80J107MEA8KCAP_GRM31C_MUR";"CAP_GRM31C_MUR";"";"";
"100UF_CAP2";"100uF";"GRM31CD80J107MEA8KCAP_GRM31C_MUR";"CAP_GRM31C_MUR";"";"";
"A4988";"A4988_STEPPER_MOTOR_DRIVER_CARRIER";"A4988_STEPPER_MOTOR_DRIVER_CARRIER";"MODULE_A4988_STEPPER_MOTOR_DRIVER_CARRIER";"Check availability";"";
"AVR";"AVR128DB48T-E/PTTQFP48_PT_MCH";"AVR128DB48T-E/PTTQFP48_PT_MCH";"TQFP48_PT_MCH";"";"";
"BARREL_CONNECTOR";"RASM712BKZJACK_RASM712BKZ_SWC";"RASM712BKZJACK_RASM712BKZ_SWC";"JACK_RASM712BKZ_SWC";"";"";
"BATTERY_TERM_BLK";"OSTVN05A150CONN5_516X256_OST";"OSTVN05A150CONN5_516X256_OST";"CONN5_516X256_OST";"";"";
"C1";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C2";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C3";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C4";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C8";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C9";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C13";"100nF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C14";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C15";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C16";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C17";"100nF";"C_CHIP-0805(2012-METRIC)";"CAPC2012X110";"Capacitor - Generic";"";
"C18";"100 uF";"35YXJ100M6.3X11CAP_YX_6P3X11_RUB";"CAP_YX_6P3X11_RUB";"";"";
"C19";"220 uF";"25YXG220MEFC6.3X11CAP_YX_6P3X11_RUB";"CAP_YX_6P3X11_RUB";"";"";
"D1";"LED_GREEN";"CHIP-ROUND-G_1209";"LEDC3224X250N_RND-G";"";"";
"D2";"LED_RED";"CHIP-ROUND-R_1209";"LEDC3224X250N_RND-R";"LED - Generic";"";
"DIODE";"SS34FASOD_34FA_ONS";"SS34FASOD_34FA_ONS";"SOD_34FA_ONS";"";"";
"FAN_TERM_BLOCK";"TERM-BLK-2P";"2828XX-2282837-2";"TERMBLK_508-2N";"2 Position Wire to Board Terminal Block Horizontal with Board";"";
"JTAG_HEADER";"PINHD-2X5";"PINHD-2X5";"2X05";"PIN HEADER";"";
"LCD_HEADER";"PINHD-1X16";"PINHD-1X16";"1X16";"PIN HEADER";"";
"LM2596";"LM2596DSADJR4GD2PAK-5_ONS-L";"LM2596DSADJR4GD2PAK-5_ONS-L";"D2PAK-5_ONS-L";"";"";
"OP_AMP";"AD8410AWBRZ-RLR-8_ADI";"AD8410AWBRZ-RLR-8_ADI";"R-8_ADI";"";"";
"R1";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R4";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R5";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"4.3K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R8";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R11";"32k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R12";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R16";"1K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R17";"2K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"SHUNT_TERM_BLK";"TERM-BLK-2P";"2828XX-2282837-2";"TERMBLK_508-2N";"2 Position Wire to Board Terminal Block Horizontal with Board";"";
"STEPPER_HEADER";"PINHD-1X04_1X04M";"PINHD-1X04_1X04M";"1X04";"";"";
"SW1";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"SW2";"500SSP3S1M6QEASW3_500SSP3S1M6QEA_EWI";"500SSP3S1M6QEASW3_500SSP3S1M6QEA_EWI";"SW3_500SSP3S1M6QEA_EWI";"";"";
"SW5";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"SW6";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"SW7";"D6R90F2LFSD6R90_CNK";"D6R90F2LFSD6R90_CNK";"D6R90_CNK";"";"";
"TP_BATTERY";"PINHD-1X5";"PINHD-1X5";"1X05";"PIN HEADER";"";
"TP_LCD";"PINHD-1X03_1X03M";"PINHD-1X03_1X03M";"1X03";"";"";
"TP_OPAMP";"PINHD-1X1";"PINHD-1X1";"1X01";"PIN HEADER";"";
"TP_POWER";"PINHD-1X3";"PINHD-1X3";"1X03";"PIN HEADER";"";
"TP_STEPPER";"PINHD-1X03_1X03M";"PINHD-1X03_1X03M";"1X03";"";"";
"TP_USART";"PINHD-1X02_1X02M";"PINHD-1X02_1X02M";"1X02";"";"";
"U$1";"FUSE_1A";"FUSE_1A";"FUSE";"";"";
"U$4";"BUZZER_";"BUZZER_";"BUZZER";"";"";
"USART_HEADER";"PINHD-1X6";"PINHD-1X6";"1X06";"PIN HEADER";"";
